DATE,PRCP,TMAX,TMIN,RAIN
2/01/2005,0,41,30,FALSE
3/01/2005,0,40,28,FALSE
4/01/2005,0,40,28,FALSE
5/01/2005,0,39,24,FALSE
6/01/2005,0.17,40,26,TRUE
7/01/2005,0.08,44,34,TRUE
8/01/2005,0.02,44,33,TRUE
9/01/2005,0.04,37,32,TRUE
10/01/2005,0,38,27,FALSE
11/01/2005,0,39,23,FALSE
12/01/2005,0,45,39,FALSE
13/01/2005,0,40,31,FALSE
14/01/2005,0,38,27,FALSE
15/01/2005,0.19,37,26,TRUE
16/01/2005,0.09,44,32,TRUE
17/01/2005,2.39,54,42,TRUE
18/01/2005,0.92,60,53,TRUE
19/01/2005,0,62,50,FALSE
20/01/2005,0.15,54,49,TRUE
21/01/2005,0.02,61,49,TRUE
22/01/2005,0.17,55,50,TRUE
23/01/2005,0,56,45,FALSE
24/01/2005,0,57,42,FALSE
25/01/2005,0,50,37,FALSE
26/01/2005,0.04,50,40,TRUE
27/01/2005,0.07,53,41,TRUE
28/01/2005,0.01,55,40,TRUE
29/01/2005,0,47,42,FALSE
30/01/2005,0.01,51,41,TRUE
31/01/2005,0.02,54,42,TRUE
1/02/2005,0,53,36,FALSE
2/02/2005,0,59,45,FALSE
3/02/2005,0,51,39,FALSE
4/02/2005,0.12,50,41,TRUE
5/02/2005,0,44,35,FALSE
6/02/2005,0.75,43,37,TRUE
7/02/2005,0,46,35,FALSE
8/02/2005,0,48,31,FALSE
9/02/2005,0,49,33,FALSE
10/02/2005,0,51,29,FALSE
11/02/2005,0,55,29,FALSE
12/02/2005,0.09,47,40,TRUE
13/02/2005,0,45,36,FALSE
14/02/2005,0,43,30,FALSE
15/02/2005,0,44,26,FALSE
16/02/2005,0,51,31,FALSE
17/02/2005,0,52,32,FALSE
18/02/2005,0,54,32,FALSE
19/02/2005,0,48,28,FALSE
20/02/2005,0,50,34,FALSE
21/02/2005,0,53,28,FALSE
22/02/2005,0,56,30,FALSE
23/02/2005,0,59,31,FALSE
24/02/2005,0,61,34,FALSE
25/02/2005,0,51,39,FALSE
26/02/2005,0,47,34,FALSE
27/02/2005,0,61,35,FALSE
28/02/2005,0.24,58,45,TRUE
1/03/2005,0.12,60,45,TRUE
2/03/2005,0.04,55,45,TRUE
3/03/2005,0,61,40,FALSE
4/03/2005,0,58,43,FALSE
5/03/2005,0,59,42,FALSE
6/03/2005,0,61,49,FALSE
7/03/2005,0,63,50,FALSE
8/03/2005,0,67,45,FALSE
9/03/2005,0.01,58,48,TRUE
10/03/2005,0,63,46,FALSE
11/03/2005,0,65,42,FALSE
12/03/2005,0,60,47,FALSE
13/03/2005,0,62,39,FALSE
14/03/2005,0,61,37,FALSE
15/03/2005,0,56,42,FALSE
16/03/2005,0.14,49,41,TRUE
17/03/2005,0,53,41,FALSE
18/03/2005,0,50,38,FALSE
19/03/2005,0.34,55,37,TRUE
20/03/2005,0.1,55,40,TRUE
21/03/2005,0.07,49,37,TRUE
22/03/2005,0,53,37,FALSE
23/03/2005,0,56,37,FALSE
24/03/2005,0,54,41,FALSE
25/03/2005,0,53,37,FALSE
26/03/2005,1.51,50,43,TRUE
27/03/2005,0.64,52,44,TRUE
28/03/2005,0.4,47,41,TRUE
29/03/2005,0.13,50,41,TRUE
30/03/2005,0,54,41,FALSE
31/03/2005,0.21,54,42,TRUE
1/04/2005,0.34,53,40,TRUE
2/04/2005,0.1,55,38,TRUE
3/04/2005,0.4,50,43,TRUE
4/04/2005,0,52,40,FALSE
5/04/2005,0.07,58,42,TRUE
6/04/2005,0,62,45,FALSE
7/04/2005,0.2,54,40,TRUE
8/04/2005,0,55,37,FALSE
9/04/2005,0,55,40,FALSE
10/04/2005,0.28,52,38,TRUE
11/04/2005,0.4,50,37,TRUE
12/04/2005,0.06,49,36,TRUE
13/04/2005,0,52,37,FALSE
14/04/2005,0,51,38,FALSE
15/04/2005,0.39,50,41,TRUE
16/04/2005,0.59,55,43,TRUE
17/04/2005,0.03,54,40,TRUE
18/04/2005,0.01,57,43,TRUE
19/04/2005,0,62,40,FALSE
20/04/2005,0,64,41,FALSE
21/04/2005,0,61,47,FALSE
22/04/2005,0,78,51,FALSE
23/04/2005,0.12,64,52,TRUE
24/04/2005,0.03,65,51,TRUE
25/04/2005,0,63,52,FALSE
26/04/2005,0,65,54,FALSE
27/04/2005,0,71,50,FALSE
28/04/2005,0.16,65,52,TRUE
29/04/2005,0.45,54,50,TRUE
30/04/2005,0.05,62,49,TRUE
1/05/2005,0,70,48,FALSE
2/05/2005,0.04,62,51,TRUE
3/05/2005,0,65,49,FALSE
4/05/2005,0.02,66,52,TRUE
5/05/2005,0,68,54,FALSE
6/05/2005,0,66,50,FALSE
7/05/2005,0,61,48,FALSE
8/05/2005,0.09,61,48,TRUE
9/05/2005,0.49,58,51,TRUE
10/05/2005,0.14,63,51,TRUE
11/05/2005,0,60,50,FALSE
12/05/2005,0,63,52,FALSE
13/05/2005,0,69,50,FALSE
14/05/2005,0.14,69,54,TRUE
15/05/2005,0.47,62,53,TRUE
16/05/2005,0.01,62,49,TRUE
17/05/2005,0.09,60,46,TRUE
18/05/2005,0.72,64,52,TRUE
19/05/2005,0.46,61,49,TRUE
20/05/2005,0.24,59,48,TRUE
21/05/2005,0.23,61,45,TRUE
22/05/2005,0.08,59,47,TRUE
23/05/2005,0,63,44,FALSE
24/05/2005,0,66,49,FALSE
25/05/2005,0,77,50,FALSE
26/05/2005,0,89,56,FALSE
27/05/2005,0,89,58,FALSE
28/05/2005,0,76,54,FALSE
29/05/2005,0,63,56,FALSE
30/05/2005,0,64,54,FALSE
31/05/2005,0.1,64,51,TRUE
1/06/2005,0.03,66,51,TRUE
2/06/2005,0,65,52,FALSE
3/06/2005,0,61,50,FALSE
4/06/2005,0,64,50,FALSE
5/06/2005,0.01,62,50,TRUE
6/06/2005,0,61,49,FALSE
7/06/2005,0.1,60,51,TRUE
8/06/2005,0.03,62,50,TRUE
9/06/2005,0,69,52,FALSE
10/06/2005,0,65,50,FALSE
11/06/2005,0.54,64,49,TRUE
12/06/2005,0.01,67,48,TRUE
13/06/2005,0.07,65,50,TRUE
14/06/2005,0,66,52,FALSE
15/06/2005,0,68,50,FALSE
16/06/2005,0.52,71,53,TRUE
17/06/2005,0.06,70,53,TRUE
18/06/2005,0,70,56,FALSE
19/06/2005,0,76,54,FALSE
20/06/2005,0,79,57,FALSE
21/06/2005,0.08,70,56,TRUE
22/06/2005,0.01,61,55,TRUE
23/06/2005,0,71,50,FALSE
24/06/2005,0,74,54,FALSE
25/06/2005,0.02,71,56,TRUE
26/06/2005,0.1,64,54,TRUE
27/06/2005,0.05,64,53,TRUE
28/06/2005,0,66,55,FALSE
29/06/2005,0,73,56,FALSE
30/06/2005,0,77,57,FALSE
1/07/2005,0,66,55,FALSE
2/07/2005,0,64,55,FALSE
3/07/2005,0,75,51,FALSE
4/07/2005,0,79,53,FALSE
5/07/2005,0.32,74,55,TRUE
6/07/2005,0.04,68,58,TRUE
